ID,Name,Is_Closed,Review_Count,Rating,Price,Zip_Code
Y2vbaQdhP6ALJrhGYpkFQg,Kickstand Bicycles,False,161,5.0,$$,10017
n4YHCDxWp07DicFxOcLzlw,Bicycles NYC,False,125,4.0,$$$,10075
XnBflxEeUp0C-MefpSSTMg,Liberty Cycles,False,170,4.5,$,10019
HdEwDk5wyjaLIvuhG9Awrw,New Bo Bo Bicycle,False,116,5.0,$,10013
wN6qVSygUdRPWblnyqW3mQ,Master Bike Shop,False,144,4.0,$$,10023
Y2vbaQdhP6ALJrhGYpkFQg,Kickstand Bicycles,False,161,5.0,$$,10017
n4YHCDxWp07DicFxOcLzlw,Bicycles NYC,False,125,4.0,$$$,10075
XnBflxEeUp0C-MefpSSTMg,Liberty Cycles,False,170,4.5,$,10019
HdEwDk5wyjaLIvuhG9Awrw,New Bo Bo Bicycle,False,116,5.0,$,10013
wN6qVSygUdRPWblnyqW3mQ,Master Bike Shop,False,144,4.0,$$,10023
